Symbol,EntryDate,EntryPrice,Quantity,Capital,ExitDate,ExitPrice,PnL,PnL%,DaysHeld,ExitReason,TrackType
ALLCARGO,2026-06-16,9.18,1089,9997.02,2026-06-24,8.24,-1023.66,-10.24,8,Stop loss hit (8.26),Paper
SUPREMEIND,2026-06-11,3488.5,2,6977.0,2026-06-25,3433.5,-110.0,-1.58,14,Both lines flipped bearish — trend reversal,Paper
PARAGMILK,2026-06-15,233.5,42,9807.0,2026-06-25,236.0,105.0,1.07,10,Both lines flipped bearish — trend reversal,Paper
CSBBANK,2026-06-16,372.8,26,9692.8,2026-06-25,326.8,-1196.0,-12.34,9,Stop loss hit (335.52),Paper
COALINDIA,2026-06-18,455.75,21,9570.75,2026-06-25,434.05,-455.7,-4.76,7,Both lines flipped bearish — trend reversal,Paper
ASTRAL,2026-06-11,1501.5,6,9009.0,2026-06-26,1486.9,-87.6,-0.97,15,Both lines flipped bearish — trend reversal,Paper
GILLETTE,2026-06-15,7726.0,1,7726.0,2026-06-30,7561.0,-165.0,-2.14,15,Both lines flipped bearish — trend reversal,Paper
CANBK,2026-06-11,133.46,74,9876.04,2026-07-02,126.28,-531.32,-5.38,21,Both lines flipped bearish — trend reversal,Paper
INTELLECT,2026-06-11,746.45,13,9703.85,2026-07-02,726.0,-265.85,-2.74,21,Both lines flipped bearish — trend reversal,Paper
FORTIS,2026-06-24,972.1,10,9721.0,2026-07-02,949.05,-230.5,-2.37,8,Both lines flipped bearish — trend reversal,Paper
THERMAX,2026-06-30,5125.1,1,5125.1,2026-07-06,4607.5,-517.6,-10.1,6,Stop loss hit (4612.59),Paper
IGL,2026-06-16,169.62,58,9837.96,2026-07-07,152.22,-1009.2,-10.26,21,Stop loss hit (152.66),Paper
MRPL,2026-06-11,163.62,61,9980.82,2026-07-08,146.49,-1044.93,-10.47,27,Both lines flipped bearish — trend reversal,Paper
CAMPUS,2026-06-11,235.15,42,9876.3,2026-07-08,231.4,-157.5,-1.59,27,Both lines flipped bearish — trend reversal,Paper
TRENT,2026-07-03,3317.8,3,9953.4,2026-07-08,2927.8,-1170.0,-11.75,5,Stop loss hit (2986.02),Paper
FIEMIND,2026-06-11,2238.0,4,8952.0,2026-07-09,2180.7,-229.2,-2.56,28,Both lines flipped bearish — trend reversal,Paper
NEWGEN,2026-06-17,477.95,20,9559.0,2026-07-09,465.65,-246.0,-2.57,22,Both lines flipped bearish — trend reversal,Paper
SUNTV,2026-06-17,519.85,19,9877.15,2026-07-09,507.45,-235.6,-2.39,22,Both lines flipped bearish — trend reversal,Paper
TIMKEN,2026-06-22,3689.4,2,7378.8,2026-07-09,3260.9,-857.0,-11.61,17,Stop loss hit (3320.46),Paper
CENTRALBK,2026-06-24,32.5,307,9977.5,2026-07-09,31.25,-383.75,-3.85,15,Both lines flipped bearish — trend reversal,Paper
IOC,2026-07-03,141.62,70,9913.4,2026-07-09,137.63,-279.3,-2.82,6,Both lines flipped bearish — trend reversal,Paper
PETRONET,2026-07-03,275.2,36,9907.2,2026-07-09,271.6,-129.6,-1.31,6,Both lines flipped bearish — trend reversal,Paper
HUDCO,2026-06-16,209.54,47,9848.38,2026-07-10,204.81,-222.31,-2.26,24,Both lines flipped bearish — trend reversal,Paper
UCOBANK,2026-06-24,26.85,372,9988.2,2026-07-10,26.11,-275.28,-2.76,16,Both lines flipped bearish — trend reversal,Paper
BPCL,2026-07-03,310.45,32,9934.4,2026-07-10,308.2,-72.0,-0.72,7,Both lines flipped bearish — trend reversal,Paper
TATAINVEST,2026-07-03,667.55,14,9345.7,2026-07-10,684.85,242.2,2.59,7,Both lines flipped bearish — trend reversal,Paper
UNIONBANK,2026-06-11,166.45,60,9987.0,2026-07-13,164.51,-116.4,-1.17,32,Both lines flipped bearish — trend reversal,Paper
RATNAMANI,2026-06-18,2602.2,3,7806.6,2026-07-13,2693.8,274.8,3.52,25,Both lines flipped bearish — trend reversal,Paper
